model_name,feature,importance_mean,importance_std
hist_gbdt,microprice_deviation,0.05789904849853156,0.00034462328871862655
hist_gbdt,ofi_roll_sum_50,0.017800560624546147,0.00023920877852924243
hist_gbdt,queue_imbalance_best,0.017219520327863967,0.00030151185218815367
hist_gbdt,midprice_vol_50,0.0157976696973114,0.00036942580117570845
hist_gbdt,depth_imbalance_3,0.00964661538568149,0.00011711306307189001
hist_gbdt,depth_imbalance_5,0.008207576472601485,0.00022610430291468704
hist_gbdt,spread,0.008144194908715829,0.00020042837831052394
hist_gbdt,ofi_best_norm_roll_sum_100,0.005802350291131608,0.00019045906178414345
hist_gbdt,depth_imbalance_10,0.005187039871774157,0.0002015962331400815
hist_gbdt,ofi_best_norm_roll_sum_10,0.0043220481312447375,0.000137264705700267
hist_gbdt,ofi_best,0.0017198811037751004,3.485123315979118e-05
hist_gbdt,ofi_best_norm_roll_sum_50,0.0011268999450701922,6.270979693150192e-05
hist_gbdt,ofi_best_norm,-0.00014513543868034385,2.157216760343466e-05
hist_gbdt,event_intensity_1s,-0.00105213268110933,0.00018483974377340897
