symbol,n_test,test_pos_rate,logistic_accuracy,logistic_roc_auc,hist_gbdt_accuracy,hist_gbdt_roc_auc
AAPL,118731,0.45638460048344576,0.5207906949322418,0.5174364179583347,0.5399011210214687,0.5347167241303936
AMZN,79544,0.4807025042743639,0.5344966307955346,0.5435509263922346,0.540568741828422,0.5586798588513044
GOOG,43941,0.44348103138299083,0.5523087776791606,0.5326760191754019,0.5473475797091555,0.5593726603113712
INTC,136326,0.4918064052345114,0.7336824963689978,0.8147387638155293,0.7213590951102504,0.8033133533918908
MSFT,161696,0.451736592123491,0.6769431525826242,0.7317276600234747,0.6623416782109638,0.7351741756461847
